Date,s&p(log),vix
2019-06-14,-0.001612842,15.28
2019-06-17,0.000931336,15.35
2019-06-18,0.009670463,15.15
2019-06-19,0.00298073,14.33
2019-06-20,0.009427615,14.75
2019-06-21,-0.001260026,15.4
2019-06-24,-0.001733435,15.26
2019-06-25,-0.009541702,16.280001
2019-06-26,-0.001234746,16.209999
2019-06-27,0.003815923,15.82
2019-06-28,0.005740912,15.08
2019-07-01,0.007642996,14.06
2019-07-02,0.00292387,12.93
2019-07-03,0.007643076,12.57
2019-07-05,-0.001807482,13.28
2019-07-08,-0.004847186,13.96
2019-07-09,0.001235816,14.09
2019-07-10,0.004500485,13.03
2019-07-11,0.002282672,12.93
2019-07-12,0.004609499,12.39
2019-07-15,0.000175844,12.68
2019-07-16,-0.003409581,12.86
2019-07-17,-0.006552626,13.97
2019-07-18,0.003575536,13.53
2019-07-19,-0.00619589,14.45
2019-07-22,0.002824728,13.53
2019-07-23,0.006824165,12.61
2019-07-24,0.004677164,12.07
2019-07-25,-0.005276251,12.74
2019-07-26,0.007360474,12.16
2019-07-29,-0.001617377,12.83
2019-07-30,-0.002581972,13.94
2019-07-31,-0.01094519,16.120001
2019-08-01,-0.009039587,17.870001
2019-08-02,-0.007309385,17.610001
2019-08-05,-0.030230162,24.59
2019-08-06,0.012933014,20.17
2019-08-07,0.000766596,19.49
2019-08-08,0.018588426,16.91
2019-08-09,-0.00663853,17.969999
2019-08-12,-0.012393826,21.09
2019-08-13,0.015018306,17.52
2019-08-14,-0.029730363,22.1
2019-08-15,0.002461237,21.18
2019-08-16,0.014323116,18.469999
2019-08-19,0.012033185,16.879999
2019-08-20,-0.007946252,17.5
2019-08-21,0.008213006,15.8
2019-08-22,-0.00050621,16.68
2019-08-23,-0.026288936,19.870001
2019-08-26,0.010923191,19.32
2019-08-27,-0.003208332,20.309999
2019-08-28,0.006524141,19.35
2019-08-29,0.012607435,17.879999
2019-08-30,0.000642621,18.98
2019-09-03,-0.006923029,19.66
2019-09-04,0.010783722,17.33
2019-09-05,0.012925923,16.27
2019-09-06,0.000910204,15
2019-09-09,-9.40048E-05,15.27
2019-09-10,0.000322266,15.2
2019-09-11,0.007203659,14.61
2019-09-12,0.002874971,14.22
2019-09-13,-0.000724618,13.74
2019-09-16,-0.003140536,14.67
2019-09-17,0.002578429,14.44
2019-09-18,0.000342624,13.95
2019-09-19,1.9955E-05,14.05
2019-09-20,-0.004907609,15.32
2019-09-23,-9.69276E-05,14.91
2019-09-24,-0.008452012,17.049999
2019-09-25,0.006139679,15.96
2019-09-26,-0.002431871,16.07
2019-09-27,-0.005330508,17.219999
2019-09-30,0.005034927,16.24
2019-10-01,-0.01233413,18.559999
2019-10-02,-0.018065441,20.559999
2019-10-03,0.007940382,19.120001
2019-10-04,0.014116742,17.040001
2019-10-07,-0.004488362,17.860001
2019-10-08,-0.015683167,20.280001
2019-10-09,0.00906335,18.639999
2019-10-10,0.006395209,17.57
2019-10-11,0.010879533,15.58
2019-10-14,-0.001388042,14.57
2019-10-15,0.009906435,13.54
2019-10-16,-0.002001548,13.68
2019-10-17,0.002759019,13.79
2019-10-18,-0.003927046,14.25
2019-10-21,0.006848107,14
2019-10-22,-0.003575056,14.46
2019-10-23,0.002843094,14.01
2019-10-24,0.001918598,13.71
2019-10-25,0.004064426,12.65
2019-10-28,0.005565862,13.11
2019-10-29,-0.000832742,13.2
2019-10-30,0.003248048,12.33
2019-10-31,-0.003027452,13.22
2019-11-01,0.009615979,12.3
2019-11-04,0.003697211,12.83
2019-11-05,-0.001186434,13.1
2019-11-06,0.000702279,12.62
2019-11-07,0.002726407,12.73
2019-11-08,0.002557356,12.07
2019-11-11,-0.001964373,12.69
2019-11-12,0.001563398,12.68
2019-11-13,0.000711297,13
2019-11-14,0.000836743,13.05
2019-11-15,0.007666003,12.05
2019-11-18,0.000503004,12.46
2019-11-19,-0.000592739,12.86
2019-11-20,-0.003763266,12.78
2019-11-21,-0.001584031,13.13
2019-11-22,0.002172574,12.34
2019-11-25,0.007479299,11.87
2019-11-26,0.002193123,11.54
2019-11-27,0.004165779,11.75
2019-11-29,-0.004019317,12.62
2019-12-02,-0.008668528,14.91
2019-12-03,-0.006660172,15.96
2019-12-04,0.006303639,14.8
2019-12-05,0.001499152,14.52
2019-12-06,0.009094252,13.62
2019-12-09,-0.003167849,15.86
2019-12-10,-0.001097555,15.68
2019-12-11,0.002903981,14.99
2019-12-12,0.008538608,13.94
2019-12-13,7.25853E-05,12.63
2019-12-16,0.007122392,12.14
2019-12-17,0.000335215,12.29
2019-12-18,-0.000432354,12.58
2019-12-19,0.004449309,12.5
2019-12-20,0.004932641,12.51
2019-12-23,0.000865757,12.61
2019-12-24,-0.000195428,12.67
2019-12-26,0.005115053,12.65
2019-12-27,3.3951E-05,13.43
2019-12-30,-0.005797602,14.82
2019-12-31,0.002941694,13.78
2020-01-02,0.008343874,12.47
2020-01-03,-0.00708491,14.02
2020-01-06,0.003527166,13.85
2020-01-07,-0.002807145,13.79
2020-01-08,0.004890437,13.45
2020-01-09,0.006633244,12.54
2020-01-10,-0.002859307,12.56
