Date,Open,High,Low,Close,Adj Close,Volume,Log Return
2017-05-01,222.089996,226.490005,219.910004,226.449997,184.657532,9999100,0.025221799512876935
2017-05-08,226.520004,236.050003,223.860001,235.960007,192.412369,10181700,0.04113789295527819
2017-05-15,235.610001,241.289993,227.679993,234.100006,190.895645,14525800,-0.007913906626626095
2017-05-22,235.529999,241.600006,234.220001,241.210007,196.693481,8263700,0.029919665525057464
2017-05-29,240.5,255.820007,233.809998,254.529999,207.555191,24658100,0.053750702021598915
2017-06-05,254.0,256.779999,241.449997,243.339996,198.430359,18493900,-0.044959082729281376
2017-06-12,240.399994,247.910004,235.130005,236.25,192.648849,18358000,-0.029569105808716738
2017-06-19,244.809998,246.869995,239.850006,245.259995,200.847672,14159700,0.04167767350971512
2017-06-26,245.990005,247.899994,230.570007,233.050003,190.848724,15126500,-0.05106567670883469
2017-07-03,234.509995,240.190002,227.5,239.619995,196.229019,10188700,0.027801348103218236
2017-07-10,240.509995,250.399994,238.809998,250.289993,204.966843,10552800,0.04356578320028866
2017-07-17,250.789993,255.0,246.059998,253.110001,207.276184,8491400,0.011203901610603091
2017-07-24,253.289993,258.48999,247.5,250.369995,205.032379,11366100,-0.010884213196374065
2017-07-31,250.979996,257.279999,245.460007,249.169998,204.049698,11035500,-0.0048043311863464775
2017-08-07,249.389999,254.289993,238.699997,244.169998,199.955109,10643400,-0.020270695467071748
2017-08-14,246.860001,254.740005,246.0,249.369995,204.213455,9599100,0.02107290848864261
2017-08-21,251.889999,259.359985,243.779999,245.589996,201.11792,19675600,-0.015274392138756017
2017-08-28,247.039993,255.339996,240.029999,252.729996,206.964996,14236700,0.028658274812701792
2017-09-04,250.119995,252.729996,243.100006,244.110001,199.905975,7248400,-0.03470254651220022
2017-09-11,247.080002,251.190002,243.240005,250.550003,205.179764,14364900,0.026039361444701696
2017-09-18,251.050003,252.830002,237.860001,239.240005,195.917831,15656100,-0.04619115071194603
2017-09-25,237.190002,244.279999,231.529999,242.539993,199.432144,14344200,0.01777870640927735
2017-10-02,245.309998,245.75,237.509995,245.740005,202.063385,10861300,0.013107387162368393
2017-10-09,246.0,251.279999,243.039993,247.960007,203.88884,9382600,0.008993508061373065
2017-10-16,248.580002,249.470001,238.360001,244.240005,200.830032,11116100,-0.015116004983087879
2017-10-23,245.179993,252.990005,242.710007,252.899994,207.950821,13645900,0.03484267585824749
2017-10-30,253.300003,278.0,248.869995,273.630005,224.996338,29807900,0.0787825122708507
2017-11-06,278.299988,281.799988,262.5,264.959991,217.86734,19644900,-0.03219778106823321
2017-11-13,262.5,274.649994,258.029999,271.859985,223.540924,13188300,0.025708156989153276
2017-11-20,272.619995,282.98999,271.390015,282.380005,232.191193,7975600,0.03796663759724541
2017-11-27,280.26001,285.679993,264.049988,271.559998,223.294281,17943800,-0.03907059280171056
2017-12-04,273.910004,275.700012,254.199997,259.910004,213.71489,25643700,-0.0438477102176525
2017-12-11,259.339996,266.0,255.720001,265.730011,218.500473,17311100,0.02214534227780837
2017-12-18,264.079987,266.51001,258.700012,262.350006,215.721222,10110000,-0.01280124408944284
2017-12-25,257.230011,262.350006,253.389999,256.899994,212.640259,8949200,-0.014385122218322477
2018-01-01,259.769989,274.26001,257.570007,271.619995,224.824188,11199600,0.05571689711080781
2018-01-08,270.920013,273.850006,260.730011,264.290009,218.757065,11621200,-0.027356888237030145
2018-01-15,265.179993,270.059998,260.459991,266.390015,220.4953,13117500,0.00791455760794537
2018-01-22,265.649994,266.769989,245.240005,250.789993,207.582901,21656700,-0.06034559669268541
2018-01-29,248.279999,253.139999,234.089996,235.479996,194.910553,30208800,-0.0629900320108591
2018-02-05,234.679993,244.0,224.899994,235.5,194.927109,27547700,8.493791967155169e-05
2018-02-12,237.860001,252.369995,237.5,248.889999,206.010254,14245200,0.05530025556667944
2018-02-19,248.75,255.740005,247.520004,253.710007,209.999847,10747100,0.019180857895983165
2018-02-26,251.960007,255.669998,240.229996,250.869995,207.649124,13233400,-0.0112570507150404
2018-03-05,249.899994,254.279999,243.419998,253.779999,210.057785,15181500,0.011532908101997214
2018-03-12,260.649994,273.850006,254.410004,254.869995,210.959991,33230000,0.004285839850182683
2018-03-19,253.100006,256.48999,240.059998,242.479996,200.704575,29024500,-0.04983444862368747
2018-03-26,247.669998,254.25,234.759995,235.649994,197.909332,20124800,-0.01402504413362201
2018-04-02,233.949997,241.679993,225.440002,228.869995,192.215195,20242300,-0.029193454941720688
2018-04-09,229.979996,252.0,229.259995,246.940002,207.39119,18000800,0.07599126490651761
